iter	Logloss
0	0.6820846773
1	0.6721602065
2	0.6590722316
3	0.6456385768
4	0.6348569014
5	0.6230137316
6	0.611930772
7	0.6002999647
8	0.5919740935
9	0.5817129603
10	0.5718993024
11	0.5640324595
12	0.5544743018
13	0.5450645986
14	0.5375363902
15	0.5283981987
16	0.5207877769
17	0.5115215728
18	0.5071410331
19	0.4986911959
20	0.4908615662
21	0.4828209777
22	0.4760598515
23	0.4686602637
24	0.4622634452
25	0.456276804
26	0.4500202066
27	0.4442231531
28	0.4388528328
29	0.4333137609
30	0.4273789706
31	0.4223639396
32	0.4156358336
33	0.4122864604
34	0.4069926213
35	0.4011197668
36	0.3962413293
37	0.3925189189
38	0.3881198125
39	0.3850640293
40	0.3800789935
41	0.3765582402
42	0.3725016864
43	0.3683405648
44	0.3644497396
45	0.3603246821
46	0.3564676639
47	0.3521741966
48	0.3494202582
49	0.3459179369
50	0.3432228867
51	0.3389236535
52	0.3351365152
53	0.3330308367
54	0.3301021131
55	0.3267254802
56	0.323462829
57	0.3207819283
58	0.3182320969
59	0.3162293145
60	0.3137032638
61	0.3107837096
62	0.3089379308
63	0.3058503239
64	0.3033319523
65	0.3012539916
66	0.2985883572
67	0.2965209075
68	0.2943491036
69	0.2927681658
70	0.2901518234
71	0.2873333871
72	0.2856912469
73	0.2838844279
74	0.2816671631
75	0.2794524775
76	0.2770342892
77	0.2746963256
78	0.2728455106
79	0.270333498
80	0.2685475704
81	0.266197212
82	0.2647313764
83	0.2626631428
84	0.2614052848
85	0.2600771479
86	0.2586906769
87	0.2571399379
88	0.2551809851
89	0.2534924493
90	0.252396638
91	0.2506958393
92	0.2491730188
93	0.2474947155
94	0.2459062354
95	0.2443337949
96	0.2430751133
97	0.2418833071
98	0.2404355548
99	0.2391194848
100	0.2373795935
101	0.2363329879
102	0.2347589692
103	0.2333505569
104	0.2313256755
105	0.2296097486
106	0.2282045776
107	0.2270099632
108	0.2258792731
109	0.2245547265
110	0.2234184779
111	0.2225339023
112	0.2212301924
113	0.2196569466
114	0.2184707344
115	0.2168202563
116	0.215526753
117	0.2143405915
118	0.2135804332
119	0.212190935
120	0.2111586687
121	0.2102655886
122	0.2093690126
123	0.2086268421
124	0.2073430374
125	0.2061945354
126	0.2054990965
127	0.2042326348
128	0.2033389829
129	0.2023279353
130	0.2009714958
131	0.2000502298
132	0.1989793481
133	0.1982833506
134	0.1974770035
135	0.1963177037
136	0.1956047501
137	0.1945779805
138	0.1937207379
139	0.1923124804
140	0.1912839526
141	0.1904695377
142	0.1894873975
143	0.1887967082
144	0.1881465337
145	0.1870665736
146	0.1865698041
147	0.1856949898
148	0.1846445374
149	0.1838494661
150	0.1834224783
151	0.1827608207
152	0.1817854228
153	0.1808849442
154	0.180001134
155	0.1792657688
156	0.1785659713
157	0.1779708464
158	0.1770079151
159	0.1763116565
160	0.175801706
161	0.1748373742
162	0.1741037431
163	0.1732999974
164	0.1725118451
165	0.1716281176
166	0.1711160299
167	0.1702708654
168	0.1695887827
169	0.1688399323
170	0.1679587732
171	0.1672308465
172	0.1664503992
173	0.165903967
174	0.1652732917
175	0.1645027857
176	0.1637798083
177	0.1630993764
178	0.1626150287
179	0.1620403155
180	0.1612633323
181	0.1607099575
182	0.160194947
183	0.1596301565
184	0.1589915227
185	0.1582274991
186	0.1574850763
187	0.1565235689
188	0.1558213957
189	0.1551080833
190	0.1545214999
